martes, 30 de junio de 2026
Disp E/N	Torr	D	Volt	Tmp nS/div	V/div
1095	3.60	101.73	3.0	356.60	24.4	500	0.050
1096	4.00	101.73	3.0	395.96	24.6	250	0.100
1097	4.50	101.70	3.0	446.05	24.5	250	0.100
1098	5.00	101.73	3.0	495.49	24.5	250	0.100
1099	5.50	101.73	3.0	544.61	24.5	250	0.100
1100	6.00	101.70	3.0	595.68	24.0	250	0.100
1101	7.00	101.73	3.0	695.21	23.8	250	0.100
1102	8.00	101.73	3.0	795.39	23.4	250	0.100
1103	9.00	101.73	3.0	895.25	23.4	250	0.100
1104	10.00	101.73	3.0	994.78	23.2	250	0.100
1105	12.00	101.73	3.0	1194.50	23.2	250	0.100
1106	14.00	101.73	3.0	1392.59	23.2	250	0.100
1107	16.00	101.73	3.0	1589.38	23.6	250	0.100
1108	18.00	101.73	3.0	1785.52	24.1	25000000	0.100
1109	4.00	60.84	3.0	236.57	24.6	500	0.050
1110	5.00	60.84	3.0	296.42	24.4	250	0.100
1111	6.00	60.87	3.0	355.62	24.3	250	0.100
1112	7.00	60.84	3.0	415.15	24.3	250	0.100
1113	8.00	60.84	3.0	474.67	24.1	250	0.100
1114	9.00	60.88	3.0	535.50	23.6	250	0.100
1115	10.00	60.86	3.0	595.02	23.2	250	0.100
1116	12.00	60.88	3.0	714.40	23.1	250	0.100
1117	14.00	60.87	3.0	833.45	23.1	250	0.100
1118	16.00	60.88	3.0	952.17	23.3	250	0.100
1119	18.00	60.87	3.0	1068.62	24.1	250	0.100
1120	20.00	60.88	3.0	1186.37	24.3	250	0.100
1121	23.00	60.87	3.0	1364.29	24.4	250	0.100
1122	8.00	31.45	3.0	245.03	24.7	250	0.100
1123	9.00	31.44	3.0	276.58	23.8	250	0.100
1124	10.00	31.44	3.0	307.81	23.3	250	0.100
1125	12.00	31.45	3.0	368.96	23.3	250	0.100
1126	14.00	31.45	3.0	430.11	23.7	250	0.100
1127	16.00	31.45	3.0	490.94	24.0	250	0.100
1128	18.00	31.45	3.0	552.41	24.1	250	0.100
1129	20.00	31.45	3.0	612.91	24.3	250	0.100
1130	23.00	31.43	3.0	704.32	24.3	250	0.100
1131	26.00	31.44	3.0	796.69	24.4	250	0.100
1132	30.00	31.45	3.0	918.35	24.5	250	0.100
1133	33.00	31.44	3.0	1010.07	24.5	250	0.100
1134	12.00	10.29	3.0	120.78	23.2	250	0.100
1135	14.00	10.29	3.0	140.62	24.0	250	0.100
1136	16.00	10.26	3.0	160.46	24.2	250	0.100
1137	18.00	10.29	3.0	180.63	24.3	250	0.100
1138	20.00	10.26	3.0	200.14	24.4	250	0.100
1139	23.00	10.26	3.0	230.07	24.3	250	0.100
1140	26.00	10.27	3.0	259.67	24.5	250	0.100
1141	30.00	10.26	3.0	300.00	24.4	250	0.100
1142	33.00	10.27	3.0	330.90	24.2	250	0.100
1143	36.00	10.26	3.0	359.85	24.3	250	0.100
1144	40.00	10.26	3.0	399.21	24.4	250	0.100
1145	45.00	10.27	3.0	450.28	24.5	250	0.100
1146	50.00	10.26	3.0	499.39	24.5	250	0.100
1147	55.00	10.26	3.0	549.16	24.6	250	0.100
1148	60.00	10.26	3.0	600.88	23.5	250	0.100
